,name,region,independence_year
0,Aruba,Caribbean,
1,Afghanistan,Southern and Central Asia,1919.0
2,Angola,Central Africa,1975.0
3,Anguilla,Caribbean,
4,Albania,Southern Europe,1912.0
5,Andorra,Southern Europe,1278.0
6,Netherlands Antilles,Caribbean,
7,united Arab Emirates,Middle East,1971.0
8,Argentina,South America,1816.0
9,Armenia,Middle East,1991.0
10,American Samoa,Polynesia,
11,Antarctica,Antarctica,
12,French Southern territories,Antarctica,
13,Antigua and Barbuda,Caribbean,1981.0
14,Australia,Australia and New Zealand,1901.0
15,Austria,Western Europe,1918.0
16,Azerbaijan,Middle East,1991.0
17,Burundi,Eastern Africa,1962.0
18,Belgium,Western Europe,1830.0
19,Benin,Western Africa,1960.0
20,Burkina Faso,Western Africa,1960.0
21,Bangladesh,Southern and Central Asia,1971.0
22,Bulgaria,Eastern Europe,1908.0
23,Bahrain,Middle East,1971.0
24,Bahamas,Caribbean,1973.0
25,Bosnia and Herzegovina,Southern Europe,1992.0
26,Belarus,Eastern Europe,1991.0
27,Belize,Central America,1981.0
28,Bermuda,North America,
29,Bolivia,South America,1825.0
30,Brazil,South America,1822.0
31,Barbados,Caribbean,1966.0
32,Brunei,Southeast Asia,1984.0
33,Bhutan,Southern and Central Asia,1910.0
34,Bouvet Island,Antarctica,
35,Botswana,Southern Africa,1966.0
36,Central African Republic,Central Africa,1960.0
37,Canada,North America,1867.0
38,Cocos (Keeling) Islands,Australia and New Zealand,
39,Switzerland,Western Europe,1499.0
40,Chile,South America,1810.0
41,China,Eastern Asia,-1523.0
42,Cote dIvoire,Western Africa,1960.0
43,Cameroon,Central Africa,1960.0
44,"Congo, The Democratic Republic of the",Central Africa,1960.0
45,Congo,Central Africa,1960.0
46,Cook Islands,Polynesia,
47,Colombia,South America,1810.0
48,Comoros,Eastern Africa,1975.0
49,Cape Verde,Western Africa,1975.0
50,Costa Rica,Central America,1821.0
51,Cuba,Caribbean,1902.0
52,Christmas Island,Australia and New Zealand,
53,Cayman Islands,Caribbean,
54,Cyprus,Middle East,1960.0
55,Czech Republic,Eastern Europe,1993.0
56,Germany,Western Europe,1955.0
57,Djibouti,Eastern Africa,1977.0
58,Dominica,Caribbean,1978.0
59,Denmark,Nordic Countries,800.0
60,Dominican Republic,Caribbean,1844.0
61,Algeria,Northern Africa,1962.0
62,Ecuador,South America,1822.0
63,Egypt,Northern Africa,1922.0
64,Eritrea,Eastern Africa,1993.0
65,Western Sahara,Northern Africa,
66,Spain,Southern Europe,1492.0
67,Estonia,Baltic Countries,1991.0
68,Ethiopia,Eastern Africa,-1000.0
69,Finland,Nordic Countries,1917.0
70,Fiji Islands,Melanesia,1970.0
71,Falkland Islands,South America,
72,France,Western Europe,843.0
73,Faroe Islands,Nordic Countries,
74,"Micronesia, Federated States of",Micronesia,1990.0
75,Gabon,Central Africa,1960.0
76,united Kingdom,British Islands,1066.0
77,Georgia,Middle East,1991.0
78,Ghana,Western Africa,1957.0
79,Gibraltar,Southern Europe,
80,Guinea,Western Africa,1958.0
