continent,capital
Africa,56.0
Africa,552.0
Africa,187.0
Africa,549.0
Africa,204.0
Africa,1889.0
Africa,2814.0
Africa,1804.0
Africa,2298.0
Africa,2296.0
Africa,2295.0
Africa,1859.0
Africa,585.0
Africa,35.0
Africa,608.0
Africa,652.0
Africa,2453.0
Africa,756.0
Africa,902.0
Africa,910.0
Africa,926.0
Africa,904.0
Africa,927.0
Africa,2972.0
Africa,
Africa,1881.0
Africa,2440.0
Africa,2441.0
Africa,2437.0
Africa,2486.0
Africa,2455.0
Africa,2482.0
Africa,2698.0
Africa,2509.0
Africa,2511.0
Africa,2462.0
Africa,2514.0
Africa,2726.0
Africa,2738.0
Africa,2754.0
Africa,3017.0
Africa,3047.0
Africa,3225.0
Africa,3198.0
Africa,3063.0
Africa,3207.0
Africa,3214.0
Africa,3172.0
Africa,3244.0
Africa,3206.0
Africa,3337.0
Africa,3332.0
Africa,3349.0
Africa,3306.0
Africa,3425.0
Africa,716.0
Africa,3162.0
Africa,4068.0
Oceania,54.0
Oceania,135.0
Oceania,2317.0
Oceania,583.0
Oceania,1791.0
Oceania,764.0
Oceania,2689.0
Oceania,921.0
Oceania,2256.0
Oceania,2507.0
Oceania,2913.0
Oceania,3493.0
Oceania,2806.0
Oceania,2805.0
Oceania,2728.0
Oceania,3499.0
Oceania,2912.0
Oceania,2881.0
Oceania,2884.0
Oceania,3016.0
Oceania,3161.0
Oceania,3333.0
Oceania,3334.0
Oceania,3424.0
Oceania,
Oceania,3537.0
Oceania,3536.0
Oceania,3169.0
